"","year","pat_resd.Indonesia","pat_resd.Malaysia","pat_resd.Philippines","pat_resd.Singapore","pat_resd.Thailand","pat_resd.Vietnam"
"1",2019,NA,NA,NA,NA,NA,NA
"2",2018,1407,1116,529,1575,904,646
"3",2017,2271,1166,323,1609,979,592
"4",2016,1101,1109,327,1601,1098,560
"5",2015,1058,1272,375,1469,1029,582
"6",2014,702,1353,334,1303,1006,487
"7",2013,663,1199,220,1143,1572,443
"8",2012,598,1114,162,1081,1020,382
"9",2011,533,1076,186,1056,927,300
"10",2010,508,1231,170,895,1214,306
"11",2009,415,1234,172,750,1025,258
"12",2008,386,818,216,793,902,204
"13",2007,284,670,225,696,945,219
"14",2006,288,531,223,626,1040,196
"15",2005,235,522,210,569,891,180
"16",2004,227,522,158,641,819,103
"17",2003,201,376,141,626,802,78
"18",2002,234,322,149,624,615,69
"19",2001,212,271,135,524,534,52
"20",2000,157,206,154,516,561,34
"21",1999,152,218,144,374,738,35
"22",1998,93,193,163,311,479,25
"23",1997,79,179,125,288,246,30
"24",1996,40,221,163,224,203,37
"25",1995,61,141,169,145,145,23
"26",1994,29,223,181,NA,150,22
"27",1993,38,198,178,NA,110,32
"28",1992,67,151,133,NA,67,34
"29",1991,34,106,147,NA,80,37
"30",1990,NA,92,147,NA,73,58
"31",1989,113,84,71,NA,43,46
"32",1988,NA,73,86,NA,78,20
"33",1987,62,71,76,NA,68,NA
"34",1986,32,29,75,NA,60,7
"35",1985,49,8,91,4,55,NA
"36",1984,26,NA,102,4,49,52
"37",1983,40,NA,63,5,48,NA
"38",1982,16,NA,134,NA,40,NA
"39",1981,NA,NA,91,4,26,NA
"40",1980,5,NA,119,2,13,NA
"41",1979,NA,NA,NA,NA,NA,NA
"42",1978,NA,NA,NA,NA,NA,NA
"43",1977,NA,NA,NA,NA,NA,NA
"44",1976,NA,NA,NA,NA,NA,NA
"45",1975,NA,NA,NA,NA,NA,NA
"46",1974,NA,NA,NA,NA,NA,NA
"47",1973,NA,NA,NA,NA,NA,NA
"48",1972,NA,NA,NA,NA,NA,NA
"49",1971,NA,NA,NA,NA,NA,NA
"50",1970,NA,NA,NA,NA,NA,NA
"51",1969,NA,NA,NA,NA,NA,NA
"52",1968,NA,NA,NA,NA,NA,NA
"53",1967,NA,NA,NA,NA,NA,NA
"54",1966,NA,NA,NA,NA,NA,NA
"55",1965,NA,NA,NA,NA,NA,NA
"56",1964,NA,NA,NA,NA,NA,NA
"57",1963,NA,NA,NA,NA,NA,NA
"58",1962,NA,NA,NA,NA,NA,NA
"59",1961,NA,NA,NA,NA,NA,NA
"60",1960,NA,NA,NA,NA,NA,NA
